"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Track ""Chamada de API""","Chamada de API","consulta taxas de atencipação do plano","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Tracking ""api resumo""","SPD Taxas e Condicoes {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/safrapay/operacoes-execucoes/servicos-consumidores/antecipacoes-recebiveis/assistente-virtual/v1/estabelecimentos/{{selectedEc@codigoEc}}?view=taxas-antecipacao | GET| {{taxaStatus}} | {{taxaBody}}","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Tracking ""api resumo 2""","SPD Taxas e Condicoes {{state.name}} api resumo 2","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/safra-pay/v1/taxas?idEstabelecimento={{selectedEc@codigoEc}} | GET| {{taxaVendasStatus}} | {{taxaVendasBody}}","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Track ""SPD Taxas e Condicoes {{state.name}} api status""","SPD Taxas e Condicoes {{state.name}} api status","{{taxaStatus}}","context exists variable: taxaStatus "
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Chamada de API","Chamada de API","Consulta máquinas disponíveis para EC.","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Tracking ""{state.name} api resumo""","{{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/safrapay/dados-referencias/gerenciamento-produtos/catalogo-produtos/assistente-virtual/v1/terminais?codigoEstabelecimentoComercial={{selectedEc@codigoEc}} | GET| {{consultMaquinaStatus}} | {{consultMaquina}}","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.7.0.0][MSG] Questionar uma cobrança","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.7.0.0][MSG] Questionar uma cobrança","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[BETA] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","Track ""SPD Taxas e Condicoes {{state.name}} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","Track ""SPD Taxas e Condicoes {{state.name}} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Taxas e Condicoes","[TC.2.0.2][SET] ""taxasExibir""","Track ""SPD Taxas e Condicoes {{state.name}} validacao""","SPD Taxas e Condicoes {{state.name}} validacao","{{taxModality}}","context exists variable: taxModality "
"[BETA] SPD Taxas e Condicoes","[TC.7.0.1][MSG] Outro Motivo","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.4.3.0][MSG] Alugada ou Comprada","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","Chamada de API","Chamada de API","Consulta Máquinas e traz alugadas.","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","Track api status","SPD Taxas e Condicoes {{state.name}} api status 4","{{statusFaturamentoMensal}}","context exists variable: statusFaturamentoMensal "
"[BETA] SPD Taxas e Condicoes","[TC.4.6.0][MSG] Como deseja prosseguir?","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.4.6.0][MSG] Como deseja prosseguir?","Track validação","SPD Taxas e Condicoes {{state.name}} validação","{{input.content}}","input equals  value: Fazer outra consulta,Encerrar"
"[BETA] SPD Taxas e Condicoes","[TC.4.6.0][MSG] Como deseja prosseguir?","Track input inesperado","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Fazer outra consulta,Encerrarand input exists  "
"[BETA] SPD Taxas e Condicoes","[TC.2.0.3][MSG] Vendas Online","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.0.0][HTTP] API Taxas de Venda","Track ""Chamada de API""","Chamada de API","taxas de venda","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.0.0][HTTP] API Taxas de Venda","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.0.0][HTTP] API Taxas de Venda","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[BETA] SPD Taxas e Condicoes","[TC.2.0.0][HTTP] API Taxas de Venda","Tracking ""api resumo""","SPD Taxas e Condicoes {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/safra-pay/v1/taxas?idEstabelecimento={{selectedEc@codigoEc}} | GET| {{taxaVendasStatus}} | {{taxaVendasBody}}","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.0.0][HTTP] API Taxas de Venda","Track ""{state.name} api status""","{{state.name}} api status","{{taxaVendasStatus}}","context exists variable: taxaVendasStatus "
"[BETA] SPD Taxas e Condicoes","[TC.2.0.4][MSG] Vendas Físicas","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.2.1][INPUT] Consultar Taxas","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Taxas e Condicoes","[TC.2.2.1][INPUT] Consultar Taxas","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Taxas e Condicoes","[TC.3.1.0][MSG] Exibe Taxas de Antecipação","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.2.2][INPUT] Taxa atual","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Taxas e Condicoes","[TC.2.2.2][INPUT] Taxa atual","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Taxas e Condicoes","[TC.2.2.0][HTTP] API Taxas de Antecipação","Chamada de API","Chamada de API","consulta taxas de atencipação do plano","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.2.0][HTTP] API Taxas de Antecipação","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Taxas e Condicoes","[TC.2.2.0][HTTP] API Taxas de Antecipação","Track api status","SPD Taxas e Condicoes {{state.name}} api status","{{taxaStatus}}","context exists variable: taxaStatus "
"[BETA] SPD Taxas e Condicoes","[TC.2.2.3][INPUT] Questionar Transferência","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Taxas e Condicoes","[TC.2.2.3][INPUT] Questionar Transferência","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Taxas e Condicoes","[TC.5.0.0][HTTP] API Taxas Pix na SafraPay","Track ""Chamada de API""","Chamada de API","Taxas Pix na Safrapay","Sem condicionais para execução"
