"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.0.2][INPUT] Origem da cobrança","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.7.0.2][INPUT] Origem da cobrança","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.7.1.0][INPUT] Onde visualizou a cobrança","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.7.1.0][INPUT] Onde visualizou a cobrança","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.7.2.0][INPUT] Solicita data da cobrança","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.7.2.0][INPUT] Solicita data da cobrança","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.7.3.0][MSG] Solicita valor da cobrança","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.5.0][MSG] Protocolo Criado","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.1.0][INPUT] Sem máquinas","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.4.1.0][INPUT] Sem máquinas","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.4.2.0][INPUT] Numero de Série","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.4.2.0][INPUT] Numero de Série","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.4.3.0][INPUT] Alugada ou Comprada","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.4.3.0][INPUT] Alugada ou Comprada","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][INPUT] Lista número série","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][INPUT] Lista número série","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.4.6.0][INPUT] Como deseja prosseguir?","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.6.0][INPUT] Como deseja prosseguir?","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.4.6.0][INPUT] Como deseja prosseguir?","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][MSG] Menu Taxas e condições","Track ""SPD Taxas e condições {state.name} exibição""","SPD Taxas e condições {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][INPUT] Menu Taxas e condições","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][INPUT] Menu Taxas e condições","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
