"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.8.0.0][INPUT] Menu Configurações","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.8.0.0][INPUT] Menu Configurações","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.8.2.0][INPUT] Seleciona modelo de maquina","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.8.2.0][INPUT] Seleciona modelo de maquina","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.8.3.0][INPUT] Device lock/Security","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.8.3.0][INPUT] Device lock/Security","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.8.5.0][INPUT] Seleciona modelo de maquina","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.8.5.0][INPUT] Seleciona modelo de maquina","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.9.0.0][MSG] Menu Erros gerais","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Menu Erros gerais","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Menu Erros gerais","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.9.6.0][MSG] Informativo Leitura do cartão","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.5.0][MSG] Menu Acessar arquivo","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.4.0][MSG] Menu Ethernet","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.3.0][MSG] Menu Discado","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.2.0][MSG] Menu Torre de celular com X","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.1.0][MSG] Menu Erro desfazimento","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.5.0][INPUT] Menu Acessar arquivo","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.9.5.0][INPUT] Menu Acessar arquivo","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.9.5.1][MSG] Tutorial Acessar arquivo","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.4.0][INPUT] Menu Ethernet","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.9.4.0][INPUT] Menu Ethernet","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.9.4.0][MSG] Tutorial Ethernet","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.3.0][INPUT] Menu Discado","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.9.3.0][INPUT] Menu Discado","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.9.3.1][MSG] Tutorial Discado","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.2.0][INPUT] Menu Torre de celular com X","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.9.2.0][INPUT] Menu Torre de celular com X","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.9.2.1][MSG] Tutorial Torre de celular com X","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.1.0][INPUT] Menu Erro desfazimento","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.9.1.0][INPUT] Menu Erro desfazimento","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.9.1.1][MSG] Dica Erro desfazimento","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.7.0][MSG] Informativo Códigos","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.9.8.0][MSG] Informativo Atalhos","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Track ""Chamada de API""","Chamada de API","Direciona chamado para central de atendimento","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Track ""SPD Taxas e Condicoes {{state.name}} api status""","SPD Taxas e Condicoes {{state.name}} api status","{{statusOcorrencia}}","context exists variable: statusOcorrencia "
