"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] Seguros","[S.1.0.0][MSG] Menu Seguros","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] Seguros","[S.1.0.0][INPUT] Menu Seguros","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] Seguros","[S.1.0.0][INPUT] Menu Seguros","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] Seguros","[S.2.0.0][MSG] Contratação","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] Seguros","[S.3.0.0][MSG] Indenização","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] Seguros","[S.3.0.0][MSG] Pagamento em atraso","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] Seguros","[S.3.0.0][INPUT] Pagamento em atraso","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] Seguros","[S.3.0.0][INPUT] Pagamento em atraso","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] Seguros","[S.4.0.0][MSG] Renovação","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] Seguros","[S.5.0.0][MSG] Assistência Funeral","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] Seguros","[S.6.0.0][MSG] Sinistro","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[DEV] Seguros","[S.6.0.0][INPUT] Sinistro","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] Seguros","[S.6.0.0][INPUT] Sinistro","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] Seguros","[S.7.0.0][MSG] Cancelamento","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
