"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Main","[M.5.3.1][INPUT] Valida seleção menu extratos","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Main","[M.5.3.1][INPUT] Valida seleção menu extratos","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Main","[M.5.3.2][MSG] Pix","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Main","[M.5.4.0][MSG] Produtos","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Main","[M.5.4.0][INPUT] Produtos","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Main","[M.5.4.0][INPUT] Produtos","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Main","[M.5.4.1][MSG] Meu Desempenho","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Main","[M.5.4.1][INPUT] Meu Desempenho","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Main","[M.5.4.1][INPUT] Meu Desempenho","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","Track ""SPD Main id sessao""","SPD Main id sessao","{{calendar.datetime}} | {{contact.identity}} | {{idSessao}}","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.0.1][HTTP] Obtem Carterização","Tracking ""api resumo"" Agencia/Conta","SPD Main {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/gerentes/v1/gerentes?agencia={{contaSelecionada@agencia}}&conta={{contaSelecionada@conta}} | GET | {{statusAccountManager}} | {{bodyAccountManager}}","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.0.1][HTTP] Obtem Carterização","Tracking ""api resumo"" Segmento 20","SPD Main {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/contas-pessoa-fisica/v1/gerentes?cpfCnpj={{contaSelecionada@doc}}&codigoSegmento=0020 | GET | {{statusAccountManager2}} | {{bodyAccountManager}}","context notEquals variable: statusAccountManager value: 200"
"[BETA] SPD Main","[M.4.0.1][HTTP] Obtem Carterização","Tracking ""api resumo"" Segmento 17","SPD Main {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/contas-pessoa-fisica/v1/gerentes?cpfCnpj={{contaSelecionada@doc}}&codigoSegmento=0017 | GET | {{statusAccountManager3}} | {{bodyAccountManager}}","context notEquals variable: statusAccountManager2 value: 200and context notEquals variable: statusAccountManager2 value: 504"
"[BETA] SPD Main","[M.4.0.1][HTTP] Obtem Carterização","Tracking ""api resumo"" Phone","SPD Main {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/gerentes/v1/carteiras?dddCelular={{telephone@ddd}}&numeroCelular={{telephone@telephone}}&tipoPessoa=J | GET | {{statusAccountManager4}} | {{bodyAccountManager}}","context notEquals variable: statusAccountManager3 value: 200and context notEquals variable: statusAccountManager3 value: 504"
"[BETA] SPD Main","[M.4.0.1][HTTP] Obtem Carterização","Track ""SPD Main {state.name} api status""","SPD Main {{state.name}} api status","{{apiStatus}}","context exists variable: apiStatus "
