"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] SPD Intencoes","Fácil","PESQUISA CES MUITO FÁCIL ASSUNTO","PESQUISA CES MUITO FÁCIL ASSUNTO","{{assunto}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Fácil","PESQUISA CES MUITO FÁCIL","PESQUISA CES MUITO FÁCIL","1","Sem condicionais para execução"
"[DEV] SPD Intencoes","Fácil","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Intencoes","Finalização","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Intencoes","Tracking Finalização","finalizaçãoContador","finalizaçãoContador","1","Sem condicionais para execução"
"[DEV] SPD Intencoes","Tracking Finalização","retenção bruta","retenção bruta","{{atendimento}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Tracking Finalização","retenção liquida","retenção liquida","bot | {{autoservico}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Tracking Finalização","retenção total","retenção total","{{atendimento}} | {{autoservico}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Saudação fim","Registro de eventos","SPD Intencoes saudação fim input","{{input.content}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Inatividade","Inatividade","inatividade","1","Sem condicionais para execução"
"[DEV] SPD Intencoes","Inatividade","Registro de eventos","SPD Intencoes inatividade exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Intencoes","Não entendimento 2","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Menu principal,Encerrar"
"[DEV] SPD Intencoes","Nào entendimento 1","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","intent notExists  "
"[DEV] SPD Intencoes","Erro de API","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Menu Principal,Encerrar"
"[DEV] SPD Intencoes","Valida respostas BigID","Track ""SPD Intencoes {state.name} resultado respostas""","SPD Intencoes {{state.name}} resultado respostas","{{bigIdValidationBody@ResultMessage}}","context exists variable: bigIdValidationBody@ResultMessage "
"[DEV] SPD Intencoes","Input Inesperado BigID","""SPD Intencoes {state.name} input inesperado exibição""","SPD Intencoes {{state.name}} input inesperado exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Intencoes","Input Inesperado BigID","Track ""SPD Intencoes {state.name} input inesperado""","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Inicio perguntas BigID","Track ""SPD Inicio {state.name} exibição""","SPD Inicio {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Intencoes","Autenticação BigID","Track ""SPD Intencoes {state.name}""","SPD Intenções {{state.name}}","Negado | {{statusQuestion}}","context equals variable: pesquisaBigID value: false"
"[DEV] SPD Intencoes","Autenticação BigID","Track ""SPD Intencoes {state.name} api status""","SPD Intencoes {{state.name}} api status","{{statusQuestion}}","context exists variable: statusQuestion "
"[DEV] SPD Intencoes","Autenticação BigID","Track ""autenticacao BigId sem pesquisa""","Autenticacao BigID sem pesquisa","{{phone}} | sem pesquisa","context equals variable: pesquisaBigID value: false"
