"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] Finalizacao","[F.3.1.2][MSG] Resolutividade - Não","Resolutividade Não Assunto","Resolutividade Não Assunto","{{assunto}}","context exists variable: assunto "
"[DEV] Finalizacao","[F.3.1.2][MSG] Resolutividade - Não","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.2][INPUT] Resolutividade - Não validação","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Linguagem difícil,Pouca informação,Não gostei das soluções,Outro motivoand context exists variable: input.content "
"[DEV] Finalizacao","[F.3.1.2][INPUT] Resolutividade - Não validação","Track ""SPD Finalizacao ""{{state.name}}"" validação""","SPD Finalizacao {{state.name}} validação assunto","{{assunto}} | {{userInput}}","context exists variable: userInput "
"[DEV] Finalizacao","[F.3.1.2][INPUT] Resolutividade - Não validação","Track ""SPD Finalizacao ""{{state.name}}"" input inesperado""","SPD Finalizacao {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] Finalizacao","[Redirect] to Main (Menu inicial)","Track ""SPD Finalizacao ""{state.name}"" registro""","SPD Finalizacao {{state.name}} registro","Registro","Sem condicionais para execução"
"[DEV] Finalizacao","[Redirect] to Main (Welcome)","Track ""SPD Finalizacao ""{state.name}"" registro""","SPD Finalizacao {{state.name}} registro","Registro","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.5][INPUT] Muito difícil validação","Track ""SPD Finalizacao ""{{state.name}}"" validação""","SPD Finalizacao {{state.name}} validação assunto","{{assunto}} | {{userInput}}","context exists variable: userInput "
"[DEV] Finalizacao","[F.3.2.5][INPUT] Muito difícil validação","Track ""SPD Finalizacao ""{{state.name}}"" input inesperado""","SPD Finalizacao {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] Finalizacao","[F.3.2.0][MSG] Pesquisa CES","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.4][INPUT] Difícil validação","Track ""SPD Finalizacao ""{{state.name}}"" validação""","SPD Finalizacao {{state.name}} validação assunto","{{assunto}} | {{userInput}}","context exists variable: userInput "
"[DEV] Finalizacao","[F.3.2.4][INPUT] Difícil validação","Track ""SPD Finalizacao ""{{state.name}}"" input inesperado""","SPD Finalizacao {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] Finalizacao","[F.3.2.6][MSG] Outros motivos","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.6][MSG] Outros motivos","Track ""SPD Finalizacao ""{{state.name}}"" validação""","SPD Finalizacao {{state.name}} validação","{{input.content}}","input exists  "
