"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Maquina Safrapay","[MS.9.3.1][MSG] Tutorial Discado","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.9.2.0][INPUT] Menu Torre de celular com X","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.9.2.0][INPUT] Menu Torre de celular com X","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.9.2.1][MSG] Tutorial Torre de celular com X","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.9.1.0][INPUT] Menu Erro desfazimento","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.9.1.0][INPUT] Menu Erro desfazimento","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.9.1.1][MSG] Dica Erro desfazimento","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.9.7.0][MSG] Informativo Códigos","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.9.8.0][MSG] Informativo Atalhos","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Track ""{state.name} api resumo"" (POST) (PROTOCOLO)","{{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos | {{payloadProtocolo}} | {{statusProtocoloBpm}} | {{bodyProtocoloBpm}}","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Track ""{state.name} api resumo"" (POST) (OCORRENCIA)","{{state.name}} api resumo 2","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos/{{idProtocoloBpm}}/ocorrencias | {{payloadOcorrencia}} | {{statusOcorrencia}} | {{bodyOcorrencia}}","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Track ""{state.name} api status""","{{state.name}} api status","{{apiStatus}}","context exists variable: apiStatus "
"[BETA] SPD Maquina Safrapay","[MS.7.4.0][MSG] Status Protocolo Aberto","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.0.1] [MSG] Simulador de Vendas - Máquina","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.4.0.0][INPUT] Não recebi minha venda","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.4.0.0][INPUT] Não recebi minha venda","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.4.1.0][INPUT] Solicita valor da venda","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.4.1.0][INPUT] Solicita valor da venda","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.4.0.0] [SET] Não recebi minha venda Inicio","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.1.0][MSG] Menu - Máquinas Safrapay","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.1.0][INPUT] Menu - Máquinas Safrapay","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.5.1.0][INPUT] Menu - Máquinas Safrapay","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[M.5.1.2][MSG] Menu - Vendas","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.1.2][INPUT] Menu - Vendas","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.5.1.2][INPUT] Menu - Vendas","Track ""SPD Main {state.name} input inesperado""","SPD Main {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[M.5.2.0][MSG] Venda Online","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.1][MSG] FAQ Venda Online","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.2][MSG] Resposta foi util","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.2][INPUT] Resposta foi util","Track ""SPD Main {state.name} validação""","SPD Main {{state.name}} validação","{{userInput}}","context exists variable: userInput "
