"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Process ""salesPaymentTypeStringfy""","[""salesPaymentType""]","salesPaymentTypeStringfy","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Process ""salesValueStringfy""","[""salesValue""]","salesValueStringfy","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Process ""salesSimulation""","[""salesCardFlag"",""bodySimulacao"",""salesOrder""]","salesSimulation","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Process ""salesSufixStringfy""","[""salesOrder"",""salesSimulation"",""salesValueStringfy""]","salesSufixStringfy","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","Process ""salesPaymentTypeStringfy""","[""salesPaymentType""]","salesPaymentTypeStringfy","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","Process ""salesValueStringfy""","[""salesValue""]","salesValueStringfy","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","Process ""salesSimulation""","[""salesCardFlag"",""bodySimulacao"",""salesOrder""]","salesSimulation","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","Process ""salesSimulationStringfy""","[""salesSimulation""]","salesSimulationStringfy","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","Process ""salesSufixStringfy""","[""salesOrder""]","salesSufixStringfy","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.2.0] [INPUT] Menu simulação opções","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[Redirect] to Taxas de Vendas","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[Redirect] to Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (atendente)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.5.0.0][MSG] Menu Suporte e configurações","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.5.0.0][INPUT] Menu suporte e configurações","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.0.0][MSG] Menu Suporte","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.0.0][INPUT] Menu Suporte","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.1.0][MSG] Menu Ligar e Desligar","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.1.0][INPUT] Menu Ligar e Desligar","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.1.1][MSG] Menu selecionar modelo da maquina","Process ""dynamicContent""","[""userInput""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.1.1][INPUT] Menu selecionar modelo da maquina","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.1.2][MSG] Ligar e Desligar","Process ""equipamentoNaoLigaMsg""","[""userInput"",""subAssunto""]","equipamentoNaoLigaMsg","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.X.X.X][MSG] Problema resolvido?","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.X.X.X][INPUT] Problema resolvido?","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.4.0][MSG] Status inválido","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.4.0][INPUT] Status inválido","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.5.0][MSG] Menu Reinicialização","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.5.0][INPUT] Equipamento reiniciando","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.5.1][INPUT] Menu selecionar modelo da maquina","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.5.1][MSG] Menu selecionar modelo da maquina","Process ""dynamicContent""","[""userInput""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.5.2][MSG] Reinicialização","Process ""msg""","[""userInput""]","msg","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.6.0][MSG] POS travando","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.6.0][INPUT] POS travando","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.6.1][MSG] POS travando 2 instrução","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.6.1][INPUT] POS travando 2 instrução","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.6.2][MSG] POS travando 3 instrução","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.6.2][INPUT] POS travando 3 instrução","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.6.3][MSG] POS travando 4 instrução","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.7.0][INPUT] Menu Bateria","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.7.0][MSG] Menu Bateria","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.7.1][MSG] Bateria","Process ""msg""","[""userInput""]","msg","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.8.0][MSG] Menu Impressão","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.8.0][INPUT] Menu Impressão","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.7.1][MSG] Impressão","Process ""msg""","[""userInput""]","msg","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.9.0][MSG] Menu USB","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.9.0][INPUT] Menu USB","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.6.9.1][MSG] USB","Process ""msg""","[""userInput""]","msg","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (Suporte Tecnico)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][MSG] Menu Transação não autorizada","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.1.0][MSG] Débito (motivo)","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.1.0][INPUT] Débito (motivo)","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.2.0][MSG] Quantidade de transações","Process ""msg""","[""debitoMotivo""]","msg","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.2.1][INPUT] Data das transações","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.2.2][INPUT] Horario das transações","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.2.3][INPUT] Valor das transações","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.7.2.3][INPUT] Valor das transações","Process ""valorTransacao""","[""input.content""]","valorTransacao","context equals variable: userInput value: É um valor válido"
"[DEV] SPD Maquina Safrapay","[MS.7.2.4][MSG] Confirma transaçao","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.0.0][MSG] Menu Configurações","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.0.0][INPUT] Menu Configurações","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.8.2.0][INPUT] Seleciona modelo de maquina","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
