"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Maquina Safrapay","[MS.6.1.0][INPUT] Menu Ligar e Desligar","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.1.1][MSG] Menu selecionar modelo da maquina","Process ""dynamicContent""","[""userInput""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.1.1][INPUT] Menu selecionar modelo da maquina","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.1.2][MSG] Ligar e Desligar","Process ""equipamentoNaoLigaMsg""","[""userInput"",""subAssunto""]","equipamentoNaoLigaMsg","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.X.X.X][MSG] Problema resolvido?","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.X.X.X][INPUT] Problema resolvido?","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.4.0][MSG] Status inválido","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.4.0][INPUT] Status inválido","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.5.0][MSG] Menu Reinicialização","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.5.0][INPUT] Equipamento reiniciando","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.5.1][INPUT] Menu selecionar modelo da maquina","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.5.1][MSG] Menu selecionar modelo da maquina","Process ""dynamicContent""","[""userInput""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.5.2][MSG] Reinicialização","Process ""msg""","[""userInput""]","msg","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.6.0][MSG] POS travando","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.6.0][INPUT] POS travando","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.6.1][MSG] POS travando 2 instrução","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.6.1][INPUT] POS travando 2 instrução","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.6.2][MSG] POS travando 3 instrução","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.6.2][INPUT] POS travando 3 instrução","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.6.3][MSG] POS travando 4 instrução","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.7.0][INPUT] Menu Bateria","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.7.0][MSG] Menu Bateria","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.7.1][MSG] Bateria","Process ""msg""","[""userInput""]","msg","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.8.0][MSG] Menu Impressão","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.8.0][INPUT] Menu Impressão","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.7.1][MSG] Impressão","Process ""msg""","[""userInput""]","msg","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.9.0][MSG] Menu USB","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.9.0][INPUT] Menu USB","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.6.9.1][MSG] USB","Process ""msg""","[""userInput""]","msg","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (Suporte Tecnico)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.0.1][MSG] Menu Transação não autorizada","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.1.0][MSG] Débito (motivo)","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.1.0][INPUT] Débito (motivo)","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
