"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] SPD Taxas e Condicoes","[TC.5.0.0][HTTP] API Taxas Pix na SafraPay","Process ""apiStatus""","[""taxaStatus""]","apiStatus","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.4.0][HTTP] API Protocolo","Process ""payloadProtocolo""","[""contaSelecionada""]","payloadProtocolo","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.4.0][HTTP] API Protocolo","Process ""idProtocoloBpm"" (Pega Id do protocolo BPM)","[""bodyProtocoloBpm""]","idProtocoloBpm","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.4.0][HTTP] API Protocolo","HTTP POST ""payloadOcorrencia"" (Gera payload ocorrencia)","[""payloadProtocolo"",""idProtocoloBpm"",""idSubMotivo"",""doc"",""motivoQuestionamentoCobranca"",""origemCobranca"",""localVisualizacaoCobranca"",""dataCobranca"",""valorCobranca"",""contaSelecionada"",""contact.identity""]","payloadOcorrencia","context equals variable: statusProtocoloBpm value: 200"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","Process ""numeroLogico""","[""consultMaquina"",""numeroSerie""]","numeroLogico","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","Process ""nomeTipoEquipamento""","[""numeroSerie"",""consultMaquina"",""tipoMaquina""]","nomeTipoEquipamento","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","Process ""dataInstalacao""","[""consultMaquina"",""numeroSerie""]","dataInstalacao","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][MSG] Lista número S (Maquina< = 10)","Process ""dynamicContent""","[""consultMaquina"",""tipoMaquina"",""modalidadeMaquina""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][MSG] Lista número S (Maquina< = 10)","Process ""sizeMaquinas""","[""consultMaquina"",""tipoMaquina"",""modalidadeMaquina""]","sizeMaquinas","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.1.0][MSG] Sem máquinas","Process ""dynamicContent""","[""salesType""]","dynamicContent","Sem condicionais para execução"
