"Bot","Bloco","Nome do Script","Endpoint","Metodo","Token","Variavel De Resposta","Variavel De Status","Variavel enviada no body","Descrição"
"[BETA] SPD Autenticacao","[A.0.0.0] Verifica tipo de autenticação","Process ""bodyMFA"" using ""POST""","{{config.urlCHT}}/vendas-servicos/multicanal/autorizacoes-transacoes/assistente-virtual/v1/transacoes","POST","Bearer {{bodyToken@access_token}}","bodyMFA","statusMFA","{{requestBodyMFA}}",""
"[BETA] SPD Autenticacao","[A.1.2.0] Valida respostas do KBA","Process ""bodyKbaValidar"" using ""POST""","{{config.urlCHT}}/vendas-servicos/multicanal/autorizacoes-transacoes/assistente-virtual/v1/kba/validar","POST","Bearer {{bodyToken@access_token}}","bodyKbaValidar","statusKbaValidar","{{requestBodyValidacaoKBA}}",""
"[BETA] SPD Autenticacao","[A.3.0.0] Autenticação via BigId","Process ""bodyTokenBigID"" using ""POST""","https://accesstoken.bigdatacorp.com.br/Generate","POST",,"bodyTokenBigID","statusTokenBigID","{
    ""login"": ""SAFRABIGIDAPI_BANKING"",
    ""password"": ""zvasdp3t"",
    ""expires"": 8750
}",""
"[BETA] SPD Autenticacao","[A.3.0.0] Autenticação via BigId","Process ""bodyQuestion"" using ""POST""","https://bigid.bigdatacorp.com.br/Questions","POST","Bearer {{bodyTokenBigID@token}}","bodyQuestion","statusQuestion","{
    ""Group"": ""WHATS_PJ"",
    ""Parameters"": [
        ""CPF={{contact.extras.cpf}}""
    ]
}",""
"[BETA] SPD Autenticacao","[A.3.3.0] Valida respostas BigID","Process ""bigIdValidationBody""","https://app.bigdatacorp.com.br/bigid/kba/respostas","POST","Bearer {{bodyTokenBigID@token}}","bigIdValidationBody","bigIdStatus","{{validationBody}}",""
