"Bot","Bloco","Nome do Script","Endpoint","Metodo","Token","Variavel De Resposta","Variavel De Status","Variavel enviada no body","Descrição"
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","Process ""bodyToken"" using ""POST""","{{config.urlToken}}/api/oauth/token","POST",,"bodyToken","statusToken","{{encodingUrl}}",""
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","Process ""bodyAccountManager"" using ""GET"" PHONE","{{config.urlCHT}}/chat-assistente/gerentes/v1/carteiras?dddCelular={{telephone@ddd}}&numeroCelular={{telephone@telephone}}&tipoPessoa=J","GET","Bearer {{bodyToken@access_token}}","bodyAccountManager","statusAccountManager","-",""
"[BETA] Broadcast","[BC.4.2.0] Verifica carterização por CNPJ","Process ""bodyAccountManager"" using ""GET"" - 20","{{config.urlCHT}}/chat-assistente/contas-pessoa-fisica/v1/gerentes?cpfCnpj={{userInput}}&codigoSegmento=0020","GET","Bearer {{bodyToken@access_token}}","bodyAccountManager","statusAccountManager2","-",""
"[BETA] Broadcast","[BC.4.2.0] Verifica carterização por CNPJ","Process ""bodyAccountManager"" using ""GET"" - 17","{{config.urlCHT}}/chat-assistente/contas-pessoa-fisica/v1/gerentes?cpfCnpj={{userInput}}&codigoSegmento=0017","GET","Bearer {{bodyToken@access_token}}","bodyAccountManager","statusAccountManager3","-",""
"[BETA] Broadcast","[BC.0.0.0][HTTP] Reseta State ID","DELETE ""statusDeleteBody""","https://flowassistant.cs.blip.ai/api-states","DELETE",,"statusDeleteBody","statusDeleteStatus","-",""
