"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","nomeTipoEquipamento","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","dataInstalacao","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][MSG] Lista número S (Maquina< = 10)","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][MSG] Lista número S (Maquina< = 10)","sizeMaquinas","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.4.1.0][MSG] Sem máquinas","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","tamanhoRetornoDomicilio","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","apiStatus","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","pesquisa","resolutividade",""
"[DEV] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","exceptionType","erroApi",""
"[DEV] SPD Taxas e Condicoes","[TC.8.0.0][HTTP] API Pacotes","apiStatus","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.8.0.0][HTTP] API Pacotes","exceptionType","erroApi",""
"[DEV] SPD Taxas e Condicoes","[TC.8.0.0][HTTP] API Pacotes","pesquisa","resolutividade",""
"[DEV] SPD Taxas e Condicoes","[TC.8.2.0][MSG] Possui pacotes","pacote","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.7.3.0][INPUT] Solicita valor da cobrança","exceptionType","valor",""
"[DEV] SPD Taxas e Condicoes","[TC.7.3.0][INPUT] Solicita valor da cobrança","valorCobranca","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.7.0.2][MSG] Origem da cobrança","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.7.1.0][MSG] Onde visualizou a cobrança","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.2.0.1] [MSG] Selecao Bandeira","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.2.0.2][MSG] Modalidade de venda","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.2.1.0][MSG] Selecionar outra bandeira","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.2.1.0][INPUT] Selecionar outra bandeira","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[TC.2.2.1][MSG] Consultar Taxas","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.2.2.2][MSG] Taxa atual","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.2.2.3][MSG] Questionar Transferência","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.6.1.0][MSG] Selecionar bandeira","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.6.1.0][INPUT] Selecionar bandeira","taxCardFlag","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.6.1.0][INPUT] Selecionar bandeira","exceptionType","lista",""
"[DEV] SPD Taxas e Condicoes","[TC.6.2.0][MSG] Prosseguir","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.6.2.0][INPUT] Prosseguir","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[TC.7.0.0][INPUT] Questionar uma cobrança","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[TC.7.0.1][INPUT] Outro Motivo","motivoChamado","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.7.0.2][INPUT] Origem da cobrança","origemCobranca","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.7.0.2][INPUT] Origem da cobrança","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[TC.7.1.0][INPUT] Onde visualizou a cobrança","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[TC.7.1.0][INPUT] Onde visualizou a cobrança","localVisualizacaoCobranca","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.7.2.0][INPUT] Solicita data da cobrança","exceptionType","data",""
"[DEV] SPD Taxas e Condicoes","[TC.7.2.0][INPUT] Solicita data da cobrança","dataCobranca","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.4.1.0][INPUT] Sem máquinas","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[TC.4.1.0][INPUT] Sem máquinas","pesquisa","resolutividade",""
"[DEV] SPD Taxas e Condicoes","[TC.4.2.0][INPUT] Numero de Série","exceptionType","numeroSerie",""
"[DEV] SPD Taxas e Condicoes","[TC.4.3.0][INPUT] Alugada ou Comprada","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[TC.4.3.0][INPUT] Alugada ou Comprada","modalidadeMaquina","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][INPUT] Lista número série","exceptionType","listaNumerica",""
"[DEV] SPD Taxas e Condicoes","[TC.4.6.0][INPUT] Como deseja prosseguir?","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[Redirect] To Finalizacao (Welcome)","state","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[Redirect] To WhatsApp PJ (atendente)","state","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[Redirect] To WhatsApp PJ (atendente)","atendimento","humano",""
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][MSG] Menu Taxas e condições","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][INPUT] Menu Taxas e condições","assunto","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][INPUT] Menu Taxas e condições","exceptionType","lista",""
"[DEV] SPD Taxas e Condicoes","[Redirect] To ""Autenticacao""","state","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[Redirect] To ""Autenticacao""","voltarState","Execução de script",""
"[DEV] SPD Solucoes","Exceções","state","Execução de script",""
"[DEV] SPD Solucoes","[Redirect] To Finalizacao (Welcome)","state","Execução de script",""
"[DEV] SPD Solucoes","[Redirect] To WhatsApp PJ (Humano)","state","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","elegivel","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","valorLimiteDiario","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","valorUtilizado","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","resultado","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","alterar","false",""
"[DEV] SPD Solucoes","Valor","limiteteste","{{valorLimiteDiario}}",""
"[DEV] SPD Solucoes","Breve Mensagem","mensagem","",""
"[DEV] SPD Solucoes","Confirmação","valorFormatado","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link - API","valor","Execução de script",""
"[DEV] SPD Solucoes","Possui limite","valorUtilizado","Execução de script",""
"[DEV] SPD Solucoes","Possui limite","valorLimiteDiario","Execução de script",""
"[DEV] SPD Solucoes","Alterar","alterar","true",""
"[DEV] SPD Solucoes","Script","statusSelecionado","Execução de script",""
"[DEV] SPD Solucoes","Script","sizeStatusSelecionado","Execução de script",""
"[DEV] SPD Solucoes","Script","dinamicoDatas","Execução de script",""
"[DEV] SPD Solucoes","Valor - Alterar","limiteteste","{{valorLimiteDiario}}",""
"[DEV] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","30dias","Execução de script",""
"[DEV] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","numeroLink","Execução de script",""
"[DEV] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","hoje","{{calendar.date}}",""
"[DEV] SPD Solucoes","Apenas um Link","msg","Execução de script",""
"[DEV] SPD Solucoes","API Cancelar Link","idLinkPagamento","{{linkselecionado@id}}",""
"[DEV] SPD Solucoes","Selecione um Status","dinamico","Execução de script",""
"[DEV] SPD Solucoes","Selecione a Data","dinamicoDatas","Execução de script",""
"[DEV] SPD Solucoes","Mensagem","mensagemLink","Execução de script",""
"[DEV] SPD Solucoes","Filtro Data","dataFormatada","Execução de script",""
"[DEV] SPD Solucoes","Gestão de links - Data especifica","numeroLink","Execução de script",""
"[DEV] SPD Solucoes","API gestão link","numeroLink","Execução de script",""
"[DEV] SPD Solucoes","Apenas uma data","dinamicoDatas","Execução de script",""
"[DEV] SPD Solucoes","[S.2.0.0] [INPUT] Consulta Status Protocolo","numeroProtocolo","{{input.content}}",""
"[DEV] SPD Solucoes","[S.2.0.0] [INPUT] Consulta Status Protocolo","exceptionType","MS.3.0.0",""
"[DEV] SPD Solucoes","[S.2.0.1] [HTTP] Api Consulta Status Protocolo","apiStatus","Execução de script",""
"[DEV] SPD Solucoes","[S.2.0.1] [HTTP] Api Consulta Status Protocolo","exceptionType","erroApi",""
"[DEV] SPD Solucoes","[S.2.2.0] [MSG] Consultar Outro Protocolo","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.2.2.0] [INPUT] Consultar Outro Protocolo","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[S.2.1.0] [MSG] Mensagem Status Protocolo","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.1.0.0][MSG] Menu Soluções","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.1.0.0][INPUT] Menu Soluções","assunto","{{userInput}}",""
"[DEV] SPD Solucoes","[S.1.0.0][INPUT] Menu Soluções","exceptionType","lista",""
"[DEV] SPD Solucoes","[Redirect] To ""Autenticacao"" (Descredenciamento)","state","Execução de script",""
"[DEV] SPD Solucoes","[Redirect] To WhatsApp PJ (Descredenciamento)","state","Execução de script",""
"[DEV] SPD Solucoes","[S.2.0.2][MSG] Protocolo Não Encontrado","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.2.0.2] [INPUT] Protocolo Não Encontrado","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[S.2.1.1][SET] Valida SLA","dentroDoPrazo","Execução de script",""
"[DEV] SPD Solucoes","[S.2.1.3][MSG] Protocolo fora do Prazo","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.2.1.3][INPUT] Protocolo fora do Prazo","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","payloadOcorrenciaSolucao","Execução de script",""
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","apiStatus","Execução de script",""
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","exceptionType","erroApi",""
"[DEV] SPD Solucoes","[S.3.0.0][MSG] Menu Boletos","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.0.0][MSG] Menu Boletos","pesquisa","resolutividade",""
"[DEV] SPD Solucoes","[S.3.0.0][INPUT] Menu Boletos","exceptionType","lista",""
"[DEV] SPD Solucoes","[S.3.4.1][MSG] Botão Espécie 33","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.4.1][INPUT] Botão Espécie 33","exceptionType","quickReply",""
