"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Maquina Safrapay","[MS.6.6.2][MSG] POS travando 3 instrução","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.6.6.3][MSG] POS travando 4 instrução","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.6.7.0][INPUT] Menu Bateria","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.6.7.0][INPUT] Menu Bateria","subAssunto","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.6.7.0][MSG] Menu Bateria","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.6.7.1][MSG] Bateria","msg","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.6.7.1][MSG] Bateria","segundoAtendimentoBateriaFraca","true",""
"[BETA] SPD Maquina Safrapay","[MS.6.8.0][MSG] Menu Impressão","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.6.8.0][INPUT] Menu Impressão","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.6.8.0][INPUT] Menu Impressão","subAssunto","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.6.7.1][MSG] Impressão","msg","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.6.7.1][MSG] Impressão","segundoAtendimentoBateriaFraca","true",""
"[BETA] SPD Maquina Safrapay","[MS.6.9.0][MSG] Menu USB","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.6.9.0][INPUT] Menu USB","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.6.9.0][INPUT] Menu USB","subAssunto","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.6.9.1][MSG] USB","msg","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.6.9.1][MSG] USB","segundoAtendimentoBateriaFraca","true",""
"[BETA] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (Suporte Tecnico)","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (Suporte Tecnico)","msg",,""
"[BETA] SPD Maquina Safrapay","[MS.7.0.1][MSG] Menu Transação não autorizada","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.0.1][MSG] Menu Transação não autorizada","transacoesNaoAutorizadas",,""
"[BETA] SPD Maquina Safrapay","[MS.7.0.1][MSG] Menu Transação não autorizada","nrTransacao","1",""
