"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Taxas e Condicoes","[TC.7.4.0][HTTP] API Protocolo","motivoProtocolo","questionarUmaCobranca",""
"[BETA] SPD Taxas e Condicoes","[TC.7.4.0][HTTP] API Protocolo","exceptionType","erroApi",""
"[BETA] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","numeroLogico","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","nomeTipoEquipamento","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.5.1][MSG][SET] Comprada","dataInstalacao","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.4.0][MSG] Lista número S (Maquina< = 10)","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.4.0][MSG] Lista número S (Maquina< = 10)","sizeMaquinas","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.1.0][MSG] Sem máquinas","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","tamanhoRetornoDomicilio","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","apiStatus","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","pesquisa","resolutividade",""
"[BETA] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","exceptionType","erroApi",""
"[BETA] SPD Taxas e Condicoes","[TC.7.3.0][INPUT] Solicita valor da cobrança","exceptionType","valor",""
"[BETA] SPD Taxas e Condicoes","[TC.7.3.0][INPUT] Solicita valor da cobrança","valorCobranca","R$ {{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.7.0.2][MSG] Origem da cobrança","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.7.1.0][MSG] Onde visualizou a cobrança","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.1] [MSG] Selecao Bandeira","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.2][MSG] Modalidade de venda","dynamicContent","Execução de script",""
