"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] SPD Main","[M.5.1.0][INPUT] Menu - Máquinas Safrapay","exceptionType","lista",""
"[DEV] SPD Main","[M.5.1.2][MSG] Menu - Vendas","dynamicContent","Execução de script",""
"[DEV] SPD Main","[M.5.1.2][INPUT] Menu - Vendas","assunto","{{userInput}}",""
"[DEV] SPD Main","[M.5.1.2][INPUT] Menu - Vendas","exceptionType","lista",""
"[DEV] SPD Main","[M.5.2.0][MSG] Venda Online","dynamicContent","Execução de script",""
"[DEV] SPD Main","[M.5.2.0][INPUT] Venda Online","assunto","{{userInput}}",""
"[DEV] SPD Main","[M.5.2.0][INPUT] Venda Online","exceptionType","lista",""
"[DEV] SPD Main","[M.5.2.1][MSG] FAQ Venda Online","msgVendaOnline","Execução de script",""
"[DEV] SPD Main","[M.5.2.2][MSG] Resposta foi util","dynamicContent","Execução de script",""
"[DEV] SPD Main","[M.5.2.2][INPUT] Resposta foi util","exceptionType","quickReply",""
"[DEV] SPD Main","[Redirect] serviço de Finalizacao (Welcome)","state","Execução de script",""
"[DEV] SPD Main","[Redirect] serviço WhatsApp PJ (Vendas Online)","state","Execução de script",""
"[DEV] SPD Main","[Redirect] WhatsApp PJ (atendente)","state","Execução de script",""
"[DEV] SPD Main","[M.5.3.3] Redirect to ""Autenticacao""","state","Execução de script",""
"[DEV] SPD Main","[M.5.2.0] Redirect to ""SPD Soluções""","state","Execução de script",""
